x_roll, y_pitch, z_yaw
0.0, 0.0, -0.0
-0.020666666, -0.020666666, 0.020666666
-0.0206, -0.0206, 0.0206
-0.0212, -0.0212, 0.0212
-0.0214, -0.0214, 0.0214
-0.021133333, -0.021133333, 0.021133333
-0.021066668, -0.021066668, 0.021066668
-0.021, -0.021, 0.021
-0.0216, -0.0216, 0.0216
-0.021333333, -0.021333333, 0.021333333
-0.020466667, -0.020466667, 0.020466667
-0.020533333, -0.020533333, 0.020533333
-0.0206, -0.0206, 0.0206
-0.021333333, -0.021333333, 0.021333333
-0.0194, -0.0194, 0.0194
-0.021466667, -0.021466667, 0.021466667
-0.0214, -0.0214, 0.0214
-0.020933334, -0.020933334, 0.020933334
-0.020933334, -0.020933334, 0.020933334
-0.019466667, -0.019466667, 0.019466667
-0.020066667, -0.020066667, 0.020066667
-0.0204, -0.0204, 0.0204
-0.0212, -0.0212, 0.0212
-0.020733334, -0.020733334, 0.020733334
-0.020666666, -0.020666666, 0.020666666
-0.0204, -0.0204, 0.0204
-0.020266667, -0.020266667, 0.020266667
-0.022, -0.022, 0.022
-0.022533333, -0.022533333, 0.022533333
-0.0246, -0.0246, 0.0246
-0.018866668, -0.018866668, 0.018866668
-0.019066667, -0.019066667, 0.019066667
-0.0194, -0.0194, 0.0194
-0.019066667, -0.019066667, 0.019066667
-0.019333333, -0.019333333, 0.019333333
-0.0186, -0.0186, 0.0186
-0.018533334, -0.018533334, 0.018533334
-0.018666666, -0.018666666, 0.018666666
-0.0184, -0.0184, 0.0184
-0.018666666, -0.018666666, 0.018666666
-0.018866668, -0.018866668, 0.018866668
-0.018666666, -0.018666666, 0.018666666
-0.018733334, -0.018733334, 0.018733334
-0.019733334, -0.019733334, 0.019733334
-0.019866666, -0.019866666, 0.019866666
-0.019, -0.019, 0.019
-0.0192, -0.0192, 0.0192
-0.0192, -0.0192, 0.0192
-0.019733334, -0.019733334, 0.019733334
-0.018933333, -0.018933333, 0.018933333
-0.0188, -0.0188, 0.0188
-0.0186, -0.0186, 0.0186
-0.018466666, -0.018466666, 0.018466666
-0.0186, -0.0186, 0.0186
-0.019333333, -0.019333333, 0.019333333
-0.0186, -0.0186, 0.0186
-0.0188, -0.0188, 0.0188
-0.018733334, -0.018733334, 0.018733334
-0.018533334, -0.018533334, 0.018533334
-0.018333333, -0.018333333, 0.018333333
-0.018333333, -0.018333333, 0.018333333
-0.018333333, -0.018333333, 0.018333333
-0.018466666, -0.018466666, 0.018466666
-0.018933333, -0.018933333, 0.018933333
-0.0186, -0.0186, 0.0186
-0.018666666, -0.018666666, 0.018666666
-0.0184, -0.0184, 0.0184
-0.018333333, -0.018333333, 0.018333333
-0.018066667, -0.018066667, 0.018066667
-0.018066667, -0.018066667, 0.018066667
-0.018666666, -0.018666666, 0.018666666
-0.0182, -0.0182, 0.0182
-0.0184, -0.0184, 0.0184
-0.019133333, -0.019133333, 0.019133333
-0.018533334, -0.018533334, 0.018533334
-0.018333333, -0.018333333, 0.018333333
-0.018733334, -0.018733334, 0.018733334
-0.018533334, -0.018533334, 0.018533334
-0.018533334, -0.018533334, 0.018533334
-0.018266667, -0.018266667, 0.018266667
-0.018666666, -0.018666666, 0.018666666
-0.018666666, -0.018666666, 0.018666666
-0.018266667, -0.018266667, 0.018266667
-0.018733334, -0.018733334, 0.018733334
-0.018333333, -0.018333333, 0.018333333
-0.0182, -0.0182, 0.0182
-0.018333333, -0.018333333, 0.018333333
-0.0184, -0.0184, 0.0184
-0.018533334, -0.018533334, 0.018533334
-0.0184, -0.0184, 0.0184
-0.018733334, -0.018733334, 0.018733334
-0.0184, -0.0184, 0.0184
-0.0178, -0.0178, 0.0178
-0.017733334, -0.017733334, 0.017733334
-0.018533334, -0.018533334, 0.018533334
-0.018466666, -0.018466666, 0.018466666
-0.018466666, -0.018466666, 0.018466666
-0.018733334, -0.018733334, 0.018733334
-0.0184, -0.0184, 0.0184
-0.0188, -0.0188, 0.0188
-0.0186, -0.0186, 0.0186
-0.019066667, -0.019066667, 0.019066667
-0.0186, -0.0186, 0.0186
-0.018666666, -0.018666666, 0.018666666
-0.0182, -0.0182, 0.0182
-0.018666666, -0.018666666, 0.018666666
-0.018666666, -0.018666666, 0.018666666
-0.018533334, -0.018533334, 0.018533334
-0.0184, -0.0184, 0.0184
-0.0178, -0.0178, 0.0178
-0.018, -0.018, 0.018
-0.018533334, -0.018533334, 0.018533334
-0.0184, -0.0184, 0.0184
-0.018266667, -0.018266667, 0.018266667
-0.018066667, -0.018066667, 0.018066667
-0.018733334, -0.018733334, 0.018733334
-0.018266667, -0.018266667, 0.018266667
-0.018533334, -0.018533334, 0.018533334
-0.018533334, -0.018533334, 0.018533334
-0.018266667, -0.018266667, 0.018266667
-0.018466666, -0.018466666, 0.018466666
-0.018333333, -0.018333333, 0.018333333
-0.0176, -0.0176, 0.0176
-0.018866668, -0.018866668, 0.018866668
-0.018933333, -0.018933333, 0.018933333
-0.018466666, -0.018466666, 0.018466666
-0.018666666, -0.018666666, 0.018666666
-0.0186, -0.0186, 0.0186
-0.0188, -0.0188, 0.0188
-0.018933333, -0.018933333, 0.018933333
-0.018533334, -0.018533334, 0.018533334
-0.018133333, -0.018133333, 0.018133333
-0.017733334, -0.017733334, 0.017733334
-0.018466666, -0.018466666, 0.018466666
-0.018133333, -0.018133333, 0.018133333
-0.018533334, -0.018533334, 0.018533334
-0.018733334, -0.018733334, 0.018733334
-0.018333333, -0.018333333, 0.018333333
-0.018466666, -0.018466666, 0.018466666
