x_roll, y_pitch, z_yaw
0.0, 0.0, 0.0
4.65, 4.82, -36.0
4.7, 5.11, -36.09
4.73, 5.43, -36.11
4.62, 5.2, -36.21
4.58, 4.89, -36.26
4.68, 4.95, -36.43
4.64, 5.14, -36.49
4.35, 3.63, -36.6
4.2, 2.22, -36.21
4.38, 3.73, -36.17
4.54, 5.18, -36.31
4.55, 5.77, -36.54
4.4, 5.54, -36.67
4.57, 5.34, -38.37
4.4, 5.14, -37.17
4.56, 5.57, -37.26
4.63, 5.82, -37.18
4.61, 5.35, -36.99
4.72, 6.39, -36.79
4.75, 8.81, -37.19
4.87, 8.57, -37.38
4.48, 6.46, -37.89
4.58, 7.2, -37.53
4.54, 9.11, -37.73
4.93, 8.6, -37.87
4.65, 6.45, -37.74
4.62, 5.43, -37.5
4.28, 5.43, -37.05
4.28, 5.58, -36.87
4.47, 5.96, -36.8
4.65, 4.85, -36.26
4.32, 4.81, -36.24
4.36, 2.79, -35.72
4.45, 2.21, -35.02
4.51, 5.49, -34.92
4.59, 7.12, -35.16
4.66, 8.84, -36.34
4.76, 6.94, -36.96
4.65, 2.34, -36.61
3.97, -2.36, -34.96
4.24, -0.61, -33.69
4.51, 2.0, -33.72
4.69, 2.63, -33.87
4.79, 0.57, -34.13
4.76, -3.83, -33.6
4.7, -2.93, -32.58
4.77, -0.07, -32.53
4.81, 2.78, -32.71
4.8, 0.48, -33.07
4.64, -0.17, -33.07
4.63, -1.18, -33.0
4.69, -1.48, -32.93
4.99, -3.44, -32.85
4.78, -4.93, -32.42
4.54, -5.48, -31.89
4.59, -3.06, -31.71
4.46, -1.8, -31.83
4.72, -0.37, -31.88
4.74, 0.15, -32.18
4.68, -0.32, -32.37
4.83, 1.74, -32.85
5.07, 3.68, -33.23
4.95, 2.45, -34.0
4.69, -1.19, -33.99
4.58, -4.6, -33.28
4.56, -4.23, -32.88
4.51, -3.79, -32.38
4.64, -1.91, -32.23
4.5, -1.75, -32.03
4.39, -2.07, -31.94
4.5, -1.44, -31.98
4.6, -0.69, -32.09
4.64, -0.23, -32.33
4.59, -1.11, -32.35
4.59, -1.55, -32.26
