x_roll, y_pitch, z_yaw
0.0, 0.0, 0.0
1.05, 2.39, -40.93
1.39, 2.5, -40.96
1.56, 2.67, -40.99
1.52, 2.41, -40.96
1.71, 2.29, -40.96
1.74, 2.57, -41.0
1.7, 2.49, -40.98
1.72, 2.24, -40.99
1.74, 2.41, -41.05
1.73, 2.19, -40.99
2.0, 2.33, -41.0
1.73, 1.99, -40.76
1.81, 1.69, -40.6
1.69, 1.89, -40.63
1.76, 2.45, -40.71
1.84, 2.41, -40.77
1.61, 2.17, -40.74
1.7, 1.91, -40.76
1.85, 1.89, -40.7
1.93, 2.31, -40.69
1.86, 5.49, -40.98
2.04, 7.59, -41.21
2.03, 10.48, -42.06
2.01, 10.04, -43.67
1.94, 6.98, -43.42
2.0, 5.63, -43.15
1.78, 3.8, -42.64
1.91, 3.51, -42.29
1.85, 3.78, -41.62
1.79, 3.53, -41.42
1.86, 0.75, -40.97
1.72, -0.43, -41.24
1.67, -0.36, -40.4
1.83, 2.83, -39.88
1.63, 3.89, -40.2
1.3, 3.55, -40.43
1.68, 4.97, -40.64
1.7, 3.59, -40.61
1.73, 2.92, -40.53
1.63, 0.57, -40.3
1.71, 1.25, -40.31
1.94, 1.69, -39.96
1.69, 0.95, -39.75
1.64, 0.62, -39.46
2.16, 2.01, -40.65
1.94, 0.39, -40.74
1.74, -2.62, -40.24
1.59, -4.6, -39.49
1.6, -2.35, -38.73
1.63, 4.03, -39.01
1.66, 2.81, -39.44
1.95, -0.14, -40.24
1.55, -6.69, -39.36
1.77, -9.26, -37.73
1.88, -8.08, -37.32
2.1, -1.81, -37.25
2.13, -1.72, -38.66
1.96, -4.08, -38.45
1.97, -4.7, -38.24
1.96, -5.93, -37.68
1.99, -4.48, -37.32
2.02, -2.66, -37.47
1.96, -2.33, -37.51
1.94, -2.55, -37.58
1.89, -2.19, -37.36
1.8, -1.26, -37.57
1.83, -0.57, -37.77
1.9, 0.59, -38.68
1.81, 0.51, -39.05
1.88, -0.27, -39.04
1.82, -0.49, -39.04
1.58, -0.73, -38.83
1.65, -1.02, -38.76
1.64, -0.88, -38.64
1.62, -0.39, -38.63
1.68, 0.16, -38.8
1.64, 0.03, -38.46
1.37, 0.11, -38.82
1.85, 0.9, -38.48
1.72, 2.75, -39.41
1.75, 2.79, -39.88
1.68, 2.95, -40.72
1.66, 1.49, -40.66
1.58, 1.52, -40.16
1.82, 1.23, -40.04
1.73, 2.5, -40.14
1.74, 2.96, -40.43
1.74, 3.13, -40.59
1.79, 1.17, -40.44
1.82, 1.47, -40.39
1.98, 1.51, -40.27
1.99, 0.09, -40.65
2.03, 0.22, -41.39
1.93, -1.52, -41.23
2.2, -3.13, -40.95
1.98, -3.31, -40.54
1.76, -4.88, -40.03
1.7, -7.03, -39.56
1.55, -7.36, -39.15
1.61, -6.88, -38.82
1.53, -7.26, -38.44
1.55, -5.91, -38.2
1.5, -4.03, -38.07
1.53, -2.83, -37.93
1.63, -0.11, -37.96
1.67, 3.87, -38.3
1.77, 9.0, -38.89
1.94, 14.21, -39.72
2.08, 18.95, -40.92
2.3, 24.14, -42.33
2.45, 28.08, -43.97
2.69, 29.42, -45.61
2.86, 30.57, -47.01
2.87, 30.36, -48.42
3.18, 27.66, -49.78
3.1, 24.9, -50.43
3.0, 22.76, -51.03
2.48, 16.29, -51.11
2.29, 9.86, -50.84
2.16, 5.19, -50.22
1.89, -0.23, -49.29
1.7, -6.42, -48.03
1.5, -11.17, -46.78
1.47, -14.57, -45.41
1.27, -18.13, -44.26
1.56, -20.25, -43.45
1.47, -20.26, -42.19
1.36, -19.97, -41.07
1.3, -18.45, -40.17
1.31, -14.96, -39.57
1.47, -11.19, -39.56
1.61, -7.16, -39.59
1.68, -1.76, -39.46
1.8, 3.28, -39.63
1.92, 7.87, -40.12
2.07, 12.63, -40.83
2.23, 16.98, -41.61
2.36, 19.53, -42.59
2.42, 21.51, -43.78
2.44, 23.3, -45.0
2.46, 23.62, -46.12
2.43, 22.16, -47.11
2.43, 19.84, -48.01
2.42, 18.62, -48.24
2.68, 15.65, -48.19
2.24, 8.81, -47.99
2.19, 5.26, -47.44
2.04, 2.2, -46.91
1.75, -3.65, -46.09
1.77, -5.6, -44.97
1.72, -5.99, -44.0
1.62, -6.74, -42.92
1.46, -4.63, -42.34
1.65, -1.92, -41.85
1.7, 0.54, -41.58
1.69, 1.46, -41.34
1.65, 2.7, -41.32
1.7, 3.42, -41.39
1.78, 3.3, -41.09
1.8, 2.26, -40.97
1.86, 3.42, -41.25
1.79, 3.0, -41.05
1.59, 3.13, -41.0
1.73, 3.52, -40.65
1.7, 4.28, -41.0
1.65, 2.99, -40.6
1.84, 1.99, -40.51
1.67, 1.5, -40.54
1.53, 0.32, -40.45
1.44, -1.6, -40.44
1.52, -4.58, -40.12
1.56, -7.86, -39.94
1.45, -11.7, -39.39
1.32, -14.91, -38.8
1.24, -17.06, -37.92
1.24, -15.95, -37.44
1.16, -12.73, -36.94
1.19, -7.16, -36.82
1.41, 0.48, -37.14
1.43, 8.76, -38.28
1.66, 17.76, -39.49
1.79, 22.42, -41.14
1.93, 20.51, -42.52
1.91, 15.51, -43.32
1.92, 10.48, -43.62
1.9, 7.31, -43.6
1.91, 5.81, -43.47
1.97, 6.24, -43.42
1.92, 7.52, -43.38
1.95, 8.83, -43.46
1.98, 9.48, -43.58
1.74, 9.14, -43.59
2.21, 7.87, -43.37
2.02, 6.19, -43.23
1.91, 4.07, -43.29
1.87, 3.72, -43.18
1.57, 1.31, -42.75
1.48, -0.94, -42.22
1.61, 0.09, -42.1
1.73, 2.7, -41.82
1.55, 3.91, -41.77
1.76, 6.02, -41.91
1.84, 8.08, -42.1
