x_roll, y_pitch, z_yaw
0.0, 0.0, 0.0
1.85, 2.49, -43.66
1.87, 2.02, -43.62
1.88, 1.82, -43.63
1.86, 2.06, -43.6
1.9, 2.14, -43.55
1.89, 1.77, -43.51
1.87, 1.38, -43.48
1.88, 1.57, -43.48
1.86, 1.9, -43.45
1.89, 1.86, -43.45
1.86, 1.57, -43.44
1.83, 2.12, -43.47
1.84, 2.33, -43.55
1.88, 2.22, -43.66
1.88, 1.74, -43.68
1.91, 2.02, -43.45
1.88, 2.07, -43.91
1.85, 1.84, -43.72
1.81, 2.12, -43.71
1.83, 2.3, -43.7
1.96, 2.99, -43.78
2.01, 8.09, -44.36
2.51, 18.18, -46.28
3.3, 32.61, -50.5
4.28, 50.21, -57.86
6.18, 58.93, -61.67
6.08, 59.83, -66.76
3.35, 38.64, -71.62
2.34, 8.32, -66.82
2.35, 18.79, -62.41
1.95, 10.15, -59.9
2.05, 3.29, -54.24
1.89, 0.73, -50.34
1.69, -0.57, -48.17
1.82, 1.56, -46.64
1.99, 7.19, -46.33
1.5, 6.64, -46.71
1.76, 3.7, -45.96
1.41, 4.6, -45.37
2.41, 13.03, -45.89
2.2, 3.25, -46.19
2.07, 4.33, -45.77
2.15, 10.81, -45.96
2.1, 8.27, -46.4
1.99, 3.28, -45.62
1.81, 2.3, -45.18
1.82, 1.44, -44.02
1.61, 0.84, -43.45
1.75, -1.31, -43.01
1.39, -2.16, -42.31
1.45, -1.84, -41.84
1.68, -2.85, -41.06
1.68, -3.6, -40.46
1.75, -3.74, -40.2
1.62, -4.17, -39.22
1.93, -0.09, -40.16
1.78, -1.65, -40.25
1.83, -2.46, -40.28
2.0, -3.8, -40.14
2.03, -4.61, -39.71
2.02, -3.48, -39.7
1.98, -2.86, -39.82
1.55, -4.64, -39.44
1.84, -4.29, -39.52
2.02, -4.15, -39.62
1.84, -5.88, -39.37
1.96, -5.67, -39.01
1.9, -5.88, -39.01
1.74, -5.95, -38.78
1.74, -6.6, -38.85
1.84, -7.57, -38.65
1.91, -6.22, -38.21
1.62, -6.01, -38.44
1.75, -5.74, -38.57
1.98, -2.86, -38.94
1.81, -5.09, -39.01
1.9, -5.72, -38.67
2.09, -4.91, -38.07
1.85, -6.07, -37.89
1.84, -6.84, -37.82
1.78, -6.84, -38.0
1.85, -7.47, -37.88
1.8, -5.87, -38.07
1.88, -5.86, -38.24
1.73, -7.4, -38.26
1.69, -5.24, -37.91
1.6, -0.36, -38.53
2.01, 5.87, -40.09
2.35, 9.73, -42.91
2.37, 6.66, -44.11
1.98, 1.68, -43.99
2.07, 0.91, -43.31
1.97, 3.43, -43.42
1.9, 2.29, -43.61
1.76, 0.57, -43.32
1.82, 0.22, -42.86
1.73, -0.25, -42.52
1.82, -0.88, -42.21
1.9, -1.21, -42.0
1.85, 0.43, -41.76
1.88, 0.43, -42.01
2.04, -0.3, -42.02
1.71, -1.66, -41.48
1.78, -1.33, -41.19
1.83, -1.24, -41.24
1.93, 0.98, -41.31
1.82, 0.93, -41.68
1.86, -0.42, -41.73
1.83, 0.21, -41.62
2.01, 0.34, -41.75
2.04, 0.32, -41.93
2.03, 0.51, -42.13
2.02, 1.05, -42.3
2.04, 1.33, -42.6
2.06, 1.29, -42.75
2.12, 0.96, -42.8
2.14, 1.49, -42.86
2.25, 2.08, -43.01
2.15, 2.41, -43.12
2.12, 2.16, -43.22
2.12, 1.69, -43.11
2.12, 1.86, -43.15
2.23, 2.03, -43.22
2.17, 1.96, -43.27
2.1, 1.63, -43.29
1.97, 0.79, -43.1
2.19, 0.7, -43.01
2.08, 0.56, -42.94
2.23, 1.02, -42.65
2.28, 1.33, -42.41
2.45, 14.06, -44.43
2.7, 23.28, -48.97
2.32, 6.3, -50.49
1.69, -8.66, -47.43
1.56, -5.78, -43.7
2.23, 20.51, -45.69
2.61, 20.97, -49.39
1.49, -13.9, -46.65
1.23, -24.11, -41.91
1.48, -6.81, -40.23
2.51, 25.35, -44.52
1.97, 4.3, -48.69
1.38, -18.61, -45.26
1.17, -23.54, -40.06
1.39, -13.81, -39.12
1.52, -7.89, -39.06
1.66, -2.58, -39.05
1.73, 2.73, -39.62
1.91, 7.51, -40.28
2.08, 10.38, -40.84
2.21, 12.09, -41.82
2.28, 13.32, -42.67
2.25, 12.35, -43.24
2.34, 10.21, -43.92
2.33, 7.74, -44.15
2.2, 4.09, -44.18
2.12, 0.89, -44.03
1.97, -2.22, -43.7
1.86, -4.8, -43.21
1.87, -6.71, -42.61
1.72, -7.29, -42.09
1.58, -6.64, -41.59
1.61, -5.69, -41.25
1.65, -4.02, -41.06
1.72, -2.44, -40.94
1.9, -0.82, -40.83
2.02, 0.73, -40.87
2.05, 2.0, -41.11
2.17, 2.76, -41.29
2.28, 2.72, -41.48
2.29, 1.83, -41.57
2.2, 0.31, -41.74
2.14, -0.95, -41.62
1.99, -2.47, -41.5
1.9, -3.95, -41.4
1.74, -5.19, -41.02
1.75, -6.58, -40.76
1.69, -7.18, -40.38
1.7, -7.84, -40.08
1.62, -7.96, -39.79
1.6, -7.79, -39.56
1.61, -7.32, -39.36
1.52, -6.46, -39.24
1.44, -5.59, -39.12
1.48, -4.73, -39.14
1.62, -4.14, -39.09
1.63, -3.53, -39.16
1.79, -2.45, -39.25
1.77, -1.9, -39.36
1.9, -2.13, -39.4
1.87, -2.84, -39.49
1.83, -3.0, -39.54
1.93, -3.26, -39.56
1.98, -3.86, -39.55
2.09, -4.38, -39.61
1.97, -4.4, -39.65
1.99, -4.61, -39.49
1.82, -4.44, -39.7
1.83, -3.76, -39.54
1.82, -3.59, -39.71
2.01, -2.74, -39.79
2.16, -2.05, -39.74
2.08, -1.59, -39.82
2.07, -0.4, -40.14
2.1, 0.49, -40.21
2.1, 0.69, -40.25
2.11, 0.92, -40.56
2.2, 1.42, -40.7
2.11, 1.2, -40.93
1.94, 1.02, -41.08
2.15, 0.43, -41.28
2.03, -0.11, -41.39
2.24, -0.6, -41.37
2.38, -1.33, -41.43
2.07, -1.08, -41.36
2.11, -1.27, -41.55
1.9, -1.15, -41.48
2.23, -1.06, -41.63
2.05, -0.75, -41.6
2.01, -0.53, -41.53
1.99, -0.36, -41.56
2.12, -0.14, -41.6
2.1, -0.16, -41.62
2.11, -0.3, -41.69
2.18, -0.39, -41.8
2.08, -0.8, -41.74
2.14, -1.64, -41.77
2.18, -2.18, -41.62
2.21, -2.58, -41.48
1.96, -2.79, -41.26
1.86, -2.79, -41.28
1.89, -3.44, -41.11
1.87, -4.85, -40.85
1.81, -4.82, -40.85
1.82, -3.29, -40.67
1.83, -2.52, -40.6
1.78, -2.24, -40.65
1.85, -2.04, -40.67
1.9, -1.87, -40.68
1.88, -1.27, -40.77
1.87, -0.77, -40.81
1.87, -0.67, -40.87
1.87, -0.86, -40.95
1.91, -0.9, -41.03
1.93, -1.11, -40.99
1.93, -1.5, -41.06
1.98, -1.81, -41.06
1.91, -2.18, -41.03
1.93, -2.43, -40.98
1.96, -2.4, -40.93
1.96, -2.39, -40.89
1.95, -2.34, -40.85
1.93, -2.11, -40.84
1.87, -1.73, -40.79
1.9, -1.45, -40.8
1.95, -1.12, -40.84
2.11, -0.92, -40.89
2.16, -1.02, -40.87
2.07, -1.3, -40.96
1.98, -1.49, -40.96
2.06, -1.99, -40.93
2.09, -2.41, -40.94
1.92, -2.61, -40.87
1.83, -3.13, -40.71
1.79, -3.74, -40.62
1.89, -3.65, -40.62
1.92, -3.0, -40.5
1.97, -2.81, -40.43
1.94, -2.46, -40.47
